mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_etr__max_depth,param_etr__min_samples_leaf,param_etr__min_samples_split,param_etr__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,mean_test_score,std_test_score,rank_test_score
0.13803894179207937,0.03378462855468027,0.01803774493081229,0.004891337994385232,5,1,2,50,"{'etr__max_depth': 5, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 2, 'etr__n_estimators': 50}",-540.5795715636846,-635.6750107429344,-822.31488790786,-598.8301035343081,-919.4906235844418,-755.6766512474741,-517.3117682432238,-741.1223208319882,-704.3713441388168,-733.1213372249427,-524.8207266162976,-647.0557728638535,-729.1009780638789,-707.7722538255899,-684.0888107420925,111.18224033155212,18
0.21560735361916677,0.037981879303988116,0.021350077220371792,0.003996423031281204,5,1,2,100,"{'etr__max_depth': 5, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 2, 'etr__n_estimators': 100}",-532.4208786208734,-630.4143680927345,-818.5907610820751,-599.1176772424288,-921.2016389948644,-736.4172965088563,-521.1027892867961,-745.6043024399505,-707.4335531870249,-734.876361677444,-536.782639309813,-651.2287847511645,-733.7517104617307,-702.0979925023295,-683.6457681541489,109.93360537043348,17
0.11634353228977748,0.020944541706439983,0.01630135944911412,0.004578478619786315,5,1,5,50,"{'etr__max_depth': 5, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 5, 'etr__n_estimators': 50}",-531.6711699055745,-649.5507371245975,-835.4309828726828,-609.3720004786177,-934.2887208160599,-759.7139649169926,-556.6228050317591,-762.6504789674856,-731.6570084901253,-743.5054575793889,-537.3961586133807,-650.3356642948843,-742.558071004419,-703.8923607082736,-696.3318272003031,111.42363911172573,20
0.1951192958014352,0.020639711712239776,0.01961474759238107,0.0017280918648197704,5,1,5,100,"{'etr__max_depth': 5, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 5, 'etr__n_estimators': 100}",-549.1994250970926,-657.3956122944907,-839.755258185054,-610.2992226681752,-960.4617005210108,-743.4719434543589,-518.5619589148629,-769.0422249970691,-715.4407864135078,-758.0790370926127,-547.9626803699119,-646.8757618724496,-735.1688010689294,-709.1065692328345,-697.2014987273113,116.59136916435564,22
0.10362834589821952,0.012657377971099901,0.013723560741969518,0.002272282519628707,5,2,2,50,"{'etr__max_depth': 5, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 2, 'etr__n_estimators': 50}",-542.6443120707777,-650.2008363867365,-863.2073917137758,-600.7306667623697,-936.8707320574499,-712.6492036704896,-563.9118217315812,-761.5163138129689,-720.8768812902996,-740.155569711586,-545.3716795844019,-652.4057840739348,-744.3333723252217,-706.4126516327234,-695.8062297731656,110.93357102863374,19
0.1992823396410261,0.025926437192946506,0.020046012742178782,0.001562518441180683,5,2,2,100,"{'etr__max_depth': 5, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 2, 'etr__n_estimators': 100}",-539.0206576786832,-654.3824593095657,-862.3462585865104,-596.9846150084232,-952.4365092833634,-735.015502236188,-524.4490400437151,-767.6415258812189,-743.3033684886826,-755.8117499821223,-556.0205289162375,-648.4971768217533,-737.9468296564784,-707.8992521512946,-698.6968195745883,118.06745175045288,24
0.10220844405038017,0.009555932181249675,0.013905116489955358,0.0028532178422586633,5,2,5,50,"{'etr__max_depth': 5, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 5, 'etr__n_estimators': 50}",-542.3847194975466,-660.44990375346,-885.6370234539557,-579.8319331625815,-947.2467989944818,-761.0044891698667,-502.03789639627536,-729.9425657399504,-740.5486648219467,-749.5169717303768,-544.0039674285742,-651.6856384780526,-738.6525133027828,-717.8983186167641,-696.4886717533298,123.24576306484323,21
0.19142089571271623,0.025914395901466516,0.019263250487191335,0.002592764190911544,5,2,5,100,"{'etr__max_depth': 5, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 5, 'etr__n_estimators': 100}",-540.1955236033374,-656.3451401815114,-882.2346510187642,-597.3441087298927,-959.1862312329573,-723.6079277555183,-530.7577754587667,-754.6702701610989,-744.219866985419,-747.9812925501981,-538.7965634405438,-650.7394254201703,-735.2176515997561,-705.35695791627,-697.6180990038717,120.83572913973327,23
0.1374609981264387,0.027462501829676637,0.013831138610839844,0.003420437768467343,10,1,2,50,"{'etr__max_depth': 10, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 2, 'etr__n_estimators': 50}",-509.43990633553136,-597.0369130771473,-764.0218399359092,-482.94013422786946,-866.5075139524167,-556.0687338353579,-341.99822776941244,-626.4969101218041,-527.2932070100635,-496.3394698088936,-456.65243020164644,-649.1971920702237,-582.7429140129252,-546.948453989771,-571.6917033106408,125.337603948811,7
0.30104819365910124,0.07371618953120684,0.02386294092450823,0.009617278006426378,10,1,2,100,"{'etr__max_depth': 10, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 2, 'etr__n_estimators': 100}",-506.1424377111693,-600.8075462169962,-774.6233835851842,-467.1530806631026,-847.4322519121158,-543.2426391397867,-330.978146757352,-648.0797624790337,-550.0582034990078,-461.6321581232462,-463.4073625769353,-650.9655458413228,-572.9106322167086,-547.4002186961006,-568.9166692441471,127.88082713278152,6
0.13188024929591588,0.018016222765037337,0.015163098062787737,0.003931053806103507,10,1,5,50,"{'etr__max_depth': 10, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 5, 'etr__n_estimators': 50}",-521.8311964611911,-614.9926838510052,-802.1715220100691,-471.1405542432287,-920.7242068047617,-629.8537590080734,-355.0123694402825,-683.2489420654209,-576.8115680180529,-482.87393877303293,-473.1316436623297,-656.6787199016201,-580.5377952154562,-536.6534838037729,-593.2615988041641,139.34488592638724,14
0.29893817220415386,0.09240608238062781,0.024094530514308383,0.006061434301296097,10,1,5,100,"{'etr__max_depth': 10, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 5, 'etr__n_estimators': 100}",-511.7712906780965,-615.7439111812039,-786.714878853382,-470.01577385850203,-916.4868381875193,-591.364707551006,-368.96324566134314,-703.8087103428077,-571.893967723309,-488.19212305723664,-476.62503150637633,-646.8489526589923,-575.9957920322612,-533.7201045021113,-589.8675234138676,135.86292544697974,11
0.14325574466160365,0.03850297598571611,0.015345062528337752,0.0022134481241708175,10,2,2,50,"{'etr__max_depth': 10, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 2, 'etr__n_estimators': 50}",-536.1815327427448,-623.0682061092305,-828.6032608162348,-483.8764726887826,-854.8506109798133,-531.2451304776932,-400.70001120369903,-694.4031230508236,-591.8009581727086,-484.8694214266919,-480.16540518894016,-649.7315247928171,-576.9370404383651,-550.6992550206204,-591.9379966506546,125.60309214557046,12
0.24844121932983398,0.04191452319367563,0.01952646459851946,0.0025059299310019917,10,2,2,100,"{'etr__max_depth': 10, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 2, 'etr__n_estimators': 100}",-535.9943943084528,-625.8426267002814,-838.5510579815927,-464.5988561907473,-856.502536090194,-608.965919903303,-400.065573912076,-679.0969898052572,-598.3175477741443,-477.2277086814211,-480.6475036454396,-648.6249795611777,-558.1127425242908,-542.2926266622529,-593.9172188386165,127.71638123009413,15
0.12997949123382568,0.022398317914018903,0.014958551951817103,0.0024161145827232937,10,2,5,50,"{'etr__max_depth': 10, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 5, 'etr__n_estimators': 50}",-551.6652985819038,-611.8449039042903,-859.5594166029825,-463.9611842834508,-891.3827534208104,-569.7402850183886,-374.91213299831304,-668.2817968699126,-615.4713313296004,-475.9647284424232,-473.8756884530866,-633.5682563010467,-562.568821404507,-540.1631626396611,-592.3542685893127,137.92392468996306,13
0.24569574424198695,0.04319679855503491,0.01986750534602574,0.0017362426565723603,10,2,5,100,"{'etr__max_depth': 10, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 5, 'etr__n_estimators': 100}",-548.4960291145285,-615.7815413859676,-836.8886337712706,-466.54126073292576,-867.1137058665325,-617.631711789137,-396.1114522137095,-697.5553295450333,-642.7283681118025,-481.4966010711627,-471.088377548488,-637.6424545446338,-565.108623067954,-550.9205902768219,-599.6503342171405,130.13887692682096,16
0.1762730394090925,0.04204019623158207,0.01409454005105155,0.0025863457242465914,15,1,2,50,"{'etr__max_depth': 15, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 2, 'etr__n_estimators': 50}",-514.059077404029,-622.3527145297635,-758.1325491578729,-443.43157044458616,-845.4868575463686,-623.0273810757142,-337.57007980267616,-664.6062064294905,-566.5730262319894,-443.15134987196825,-496.13754257520725,-603.2642542449078,-498.23521984409945,-422.050415670487,-559.8627317735114,132.8875981973626,2
0.3708801099232265,0.1037998283134755,0.021809543882097517,0.004427277408033366,15,1,2,100,"{'etr__max_depth': 15, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 2, 'etr__n_estimators': 100}",-506.7924854105584,-603.754545646611,-774.327087689308,-457.0933811167793,-841.2558021450228,-504.84792313720436,-347.5518717389553,-665.2383445041579,-550.8671741902101,-439.95903633479037,-487.1928274107151,-598.7332648614722,-509.64700318120026,-436.87360760398826,-551.7238824979266,130.29041010965707,1
0.14974471500941686,0.028612133169540355,0.014583655766078405,0.00283710079552976,15,1,5,50,"{'etr__max_depth': 15, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 5, 'etr__n_estimators': 50}",-524.1773428754636,-631.1825809194769,-793.148258724997,-480.4151502795164,-990.6472599624375,-522.9958709531238,-310.8618468780558,-694.4527552350906,-584.6918292584722,-467.58132219205555,-476.4079358469218,-597.8786300086921,-503.4665254276577,-436.4812231694322,-572.4563236950995,162.1000168480496,8
0.298768196787153,0.099404453838525,0.0208204984664917,0.004407750852053294,15,1,5,100,"{'etr__max_depth': 15, 'etr__min_samples_leaf': 1, 'etr__min_samples_split': 5, 'etr__n_estimators': 100}",-518.639237450298,-616.0356824154092,-787.5846190890176,-477.0816746650654,-870.8949232696241,-565.3269992365275,-328.34077270880346,-693.9476400754141,-575.4494011134013,-468.15257206769724,-505.37439816917737,-596.3516813559436,-513.0040074201213,-434.1455488872658,-567.8806541374119,136.79271372231875,5
0.15093583720070974,0.03027326131726065,0.014339447021484375,0.0024510629847471093,15,2,2,50,"{'etr__max_depth': 15, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 2, 'etr__n_estimators': 50}",-551.2160511454383,-612.2998133336829,-823.5199863342613,-428.6888394307618,-853.6681524621501,-576.7744048263743,-351.9732592601765,-692.5759863616117,-591.1167201814917,-460.46580163310426,-449.4483894323765,-592.5858640228934,-494.99938510405366,-447.5894744423565,-566.208723426481,140.75105900734812,4
0.2839420182364328,0.062822085522451,0.018509422029767717,0.0032483982639716492,15,2,2,100,"{'etr__max_depth': 15, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 2, 'etr__n_estimators': 100}",-540.6207629689909,-630.6619019354591,-828.8952642524241,-438.9276793564039,-848.5799990841361,-556.0430190958556,-376.4609045452485,-658.3916201903945,-574.3048489054604,-466.5001111212947,-488.69968157264304,-599.5684545011243,-478.9684083822522,-436.3194152311833,-565.9244336530622,135.2144567088781,3
0.1608684744153704,0.04307216368482517,0.015584571020943778,0.003985008672024159,15,2,5,50,"{'etr__max_depth': 15, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 5, 'etr__n_estimators': 50}",-551.2056428206399,-620.4968629579458,-819.6796296754652,-463.2769793994739,-908.156509857858,-563.3292857655363,-359.45549589579025,-653.488941140867,-612.5991258567549,-487.6774792432284,-505.1609111709518,-615.7063038510069,-497.78600582792836,-448.7554112511904,-579.055327479617,140.40212126861903,10
0.31457059723990305,0.10471742720697735,0.02214223997933524,0.005437384431359752,15,2,5,100,"{'etr__max_depth': 15, 'etr__min_samples_leaf': 2, 'etr__min_samples_split': 5, 'etr__n_estimators': 100}",-546.1248180851956,-621.0329585996977,-844.5973687332851,-451.10376225103147,-852.3671415706062,-576.6652125973832,-377.43444731465195,-697.1542661295878,-608.8232407782405,-479.18316129402643,-480.2227557548168,-607.266083565654,-479.4727025092602,-443.7758148421323,-576.0874095732551,138.5002181885129,9
