mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ada__learning_rate,param_ada__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,mean_test_score,std_test_score,rank_test_score
0.22399566854749406,0.08088815165490948,0.009757774216788155,0.0024129168228454218,0.05,50,"{'ada__learning_rate': 0.05, 'ada__n_estimators': 50}",-515.8406730764839,-701.7408116011685,-902.6795112330843,-840.9713431502884,-1478.119469686624,-469.9423368882612,-389.61622142821517,-701.6941641484558,-616.5561342381297,-495.59728274746084,-489.47570590037117,-606.9935474670771,-416.96302793733,-375.27012493225016,-642.9614538882287,279.19948024005384,6
0.43283212184906006,0.2106848369530139,0.01729980536869594,0.003300857588629783,0.05,100,"{'ada__learning_rate': 0.05, 'ada__n_estimators': 100}",-490.2975967036075,-723.8508363836663,-861.7278379318302,-860.5134707448416,-1405.104717331298,-403.49498138142934,-394.6452837675879,-764.513418238468,-523.2922383015696,-447.7658614350436,-472.0596713693443,-600.9623670968646,-400.9554422459766,-344.9653122658373,-621.0106453712403,275.64153265803714,4
0.2619675738470895,0.09409266005576311,0.012762120791843959,0.004923654882729445,0.1,50,"{'ada__learning_rate': 0.1, 'ada__n_estimators': 50}",-504.54596751270674,-705.6958740609631,-871.152378557659,-908.7683056386448,-1405.3322501577104,-300.0512733961759,-385.1169952105464,-788.4640976819004,-604.8065255379884,-412.9685621610116,-502.7117464312924,-591.9878377129044,-399.82358609766885,-330.78406854018834,-622.3006763355257,287.78534352296845,5
0.6044973645891462,0.23770132925882684,0.02624133655003139,0.018009175295417113,0.1,100,"{'ada__learning_rate': 0.1, 'ada__n_estimators': 100}",-498.82916247281827,-697.802861367975,-831.8170271560126,-834.5425493446495,-1311.5199324956268,-382.9641410541375,-387.0953801498196,-673.4938752505475,-533.8781071867747,-538.6405109161396,-477.64537054178595,-592.4022563540194,-514.0043449881204,-298.0951190475953,-612.337902737573,246.72444628524372,3
0.2009040287562779,0.08719131078178383,0.009395054408482142,0.0018539164312619347,0.5,50,"{'ada__learning_rate': 0.5, 'ada__n_estimators': 50}",-508.01358249558643,-674.128573295431,-799.8582374396103,-848.6125342777664,-1158.5447193210398,-474.05579840352124,-359.44985742103165,-610.7392242193063,-600.8469855129507,-370.4822532861729,-361.79183701865543,-597.2270087663484,-399.7116460650102,-305.3372998286758,-576.342825525079,228.35719167474852,2
0.46960038798195974,0.1893856415477557,0.01735445431300572,0.0044607974857563465,0.5,100,"{'ada__learning_rate': 0.5, 'ada__n_estimators': 100}",-506.2151057933113,-674.3021083559901,-859.7324777704594,-839.8577260465013,-1325.445333966412,-297.468541754138,-344.7821051040787,-563.7423170208176,-543.3542122777737,-371.4941453105284,-419.36090264432937,-559.8394710390946,-395.38651974997833,-325.27055405205886,-573.303680063248,269.998461101847,1
