mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,mean_test_score,std_test_score,rank_test_score
0.1439953190939767,0.10510586739960134,0.013470802988324846,0.0031177382980529596,0.05,3,50,"{'xgb__learning_rate': 0.05, 'xgb__max_depth': 3, 'xgb__n_estimators': 50}",-605.6575954983972,-694.8312815745155,-1064.4405962300668,-681.3532859490307,-1183.5775423745104,-555.1381867705846,-457.92833629381414,-710.8028363289442,-616.6414024243427,-543.6639193526572,-475.93621186546767,-657.1541859612348,-648.58285843681,-597.7015225157004,-678.100697255434,197.38721706588404,8
0.17354537759508407,0.05256661738985528,0.014051454407828195,0.0020379716168482183,0.05,3,100,"{'xgb__learning_rate': 0.05, 'xgb__max_depth': 3, 'xgb__n_estimators': 100}",-591.4016841106879,-690.4100673863248,-956.3205569416491,-632.282348993355,-1124.8020178667114,-427.1106707529273,-366.66970999246007,-650.8955105613342,-466.04562939513386,-451.9095531653424,-443.9805262286516,-571.7832731845815,-541.2611403455278,-494.13112183265264,-600.6431293398099,203.2347608292291,5
0.1373694964817592,0.032450937326064855,0.014421071325029646,0.002804513189325887,0.05,5,50,"{'xgb__learning_rate': 0.05, 'xgb__max_depth': 5, 'xgb__n_estimators': 50}",-587.9153116732456,-695.4858558248146,-1115.4454189564656,-673.6203922397731,-1162.837069887756,-465.9891678779053,-418.8113587652605,-743.0818826099306,-592.8958903595226,-544.0996605230337,-426.0244239690974,-587.0870696919127,-561.971440669516,-477.1803922594506,-646.6032382362631,221.70573688781104,7
0.2188220875603812,0.03779028043190409,0.01261603832244873,0.0022186647325089597,0.05,5,100,"{'xgb__learning_rate': 0.05, 'xgb__max_depth': 5, 'xgb__n_estimators': 100}",-568.2164345704192,-668.2476312594209,-1068.8390933243293,-628.803839315978,-1129.9127006648014,-422.9813531688928,-382.6546345003668,-682.2726572034233,-529.4115036927226,-486.9375783764538,-387.2413495369939,-533.2200707579884,-461.0394725802725,-361.7425547082422,-593.6800624043075,229.20166816009203,4
0.0762037890298026,0.009269578730632527,0.010411109243120466,0.0009707173124603309,0.1,3,50,"{'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 50}",-590.6626593470234,-703.9394149353176,-955.7838174264988,-638.1877974462692,-1175.5900439681723,-434.06605001059125,-351.10685491915,-632.5585996780904,-491.49663091574337,-470.67502070264004,-439.4947976325134,-567.6240657778285,-532.0587211466951,-498.74789959043443,-605.8565981069263,212.2116053757917,6
0.13530964510781424,0.012491910956844062,0.0113917418888637,0.0015568581242026299,0.1,3,100,"{'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 100}",-579.0621005033099,-691.9635716382887,-898.8867605893801,-615.5859733200361,-1128.8349767963502,-400.01269135826027,-310.946548257918,-578.0720364592969,-459.018022673257,-446.71129418990284,-429.0232662319123,-522.9619745023764,-444.1495654665885,-418.4692786504136,-565.9784329026637,210.73772980473876,1
0.0993743794304984,0.019341557118344725,0.009971908160618373,0.00198175002442471,0.1,5,50,"{'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 50}",-568.7235378232059,-675.4786069022942,-1052.7897733700595,-627.5303659221843,-1133.5380554911019,-420.41919780541457,-381.0382851523896,-707.6688126879187,-488.8501155383712,-484.58110511265,-394.70813207296754,-542.2057846244327,-441.90139188108,-379.6224259103279,-592.7896850210284,228.80044465075724,3
0.17609882354736328,0.03696097901360623,0.01014033385685512,0.0010425724602706385,0.1,5,100,"{'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 100}",-563.6957024281228,-664.6943133425813,-1025.8846641529472,-607.636692570863,-1093.068372031916,-416.0426136983275,-376.05075707324266,-695.0471649634117,-478.45883139963934,-453.6995434235167,-381.4291981470378,-511.04415246398435,-416.302561265114,-356.4853723214773,-574.25285280587,223.40052292852357,2
