year,dist_name,maximum_temperature
1997,Dindigul,31.49
1997,Erode,32.03
1997,Kancheepuram,33.66
1997,Kanyakumari,30.33
1997,Karur,34.69
1997,Krishnagiri,31.47
1997,Madurai,33.82
1997,Nagapattinam,32.89
1997,Namakkal,33.59
1997,Perambular,34.28
1997,Pudukkottai,33.62
1997,Ramananthapuram,33.66
1997,Salem,32.96
1997,Sivagangai,33.8
1997,Thanjavur,33.21
1997,The Nilgiris,24.42
1997,Theni,30.55
1997,Thirunelveli,32.62
1997,Thiruvallur,33.88
1997,Thiruvarur,32.96
1997,Thoothukudi,34.22
1997,Tiruchirappalli,34.0
1997,Tiruppur,32.6
1997,Tiruvannamalai,33.36
1997,Vellore,32.79
1997,Villupuram,33.57
1997,Virudhunagar,34.26
1998,Ariyalur,34.34
1998,Chennai,34.71
1998,Coimbatore,30.89
1998,Cuddalore,33.99
1998,Dharmapuri,33.0
1998,Dindigul,31.98
1998,Erode,32.47
1998,Kancheepuram,34.15
1998,Kanyakumari,30.78
1998,Karur,35.17
1998,Krishnagiri,31.92
1998,Madurai,34.31
1998,Nagapattinam,33.38
1998,Namakkal,34.05
1998,Perambular,34.8
1998,Pudukkottai,34.12
1998,Ramananthapuram,34.15
1998,Salem,33.42
1998,Sivagangai,34.3
1998,Thanjavur,33.72
1998,The Nilgiris,24.83
1998,Theni,31.04
1998,Thirunelveli,33.09
1998,Thiruvallur,34.35
1998,Thiruvarur,33.46
1998,Thoothukudi,34.71
1998,Tiruchirappalli,34.51
1998,Tiruppur,33.07
1998,Tiruvannamalai,33.84
1998,Vellore,33.25
1998,Villupuram,34.06
1998,Virudhunagar,34.75
1999,Ariyalur,33.72
1999,Chennai,34.17
1999,Coimbatore,30.33
1999,Cuddalore,33.37
1999,Dharmapuri,32.4
1999,Dindigul,31.37
1999,Erode,31.89
1999,Kancheepuram,33.56
1999,Kanyakumari,30.24
1999,Karur,34.55
1999,Krishnagiri,31.32
1999,Madurai,33.7
1999,Nagapattinam,32.77
1999,Namakkal,33.46
1999,Perambular,34.18
1999,Pudukkottai,33.5
1999,Ramananthapuram,33.55
1999,Salem,32.83
1999,Sivagangai,33.67
1999,Thanjavur,33.1
1999,The Nilgiris,24.29
1999,Theni,30.46
1999,Thirunelveli,32.52
1999,Thiruvallur,33.8
1999,Thiruvarur,32.85
1999,Thoothukudi,34.13
1999,Tiruchirappalli,33.88
1999,Tiruppur,32.48
1999,Tiruvannamalai,33.24
1999,Vellore,32.66
1999,Villupuram,33.46
1999,Virudhunagar,34.15
2000,Ariyalur,33.49
2000,Chennai,33.87
2000,Coimbatore,30.08
2000,Cuddalore,33.14
2000,Dharmapuri,32.11
2000,Dindigul,31.16
2000,Erode,31.62
2000,Kancheepuram,33.3
2000,Kanyakumari,30.11
2000,Karur,34.33
2000,Krishnagiri,31.01
2000,Madurai,33.52
2000,Nagapattinam,32.57
2000,Namakkal,33.19
2000,Perambular,33.94
2000,Pudukkottai,33.3
2000,Ramananthapuram,33.39
2000,Salem,32.55
2000,Sivagangai,33.52
2000,Thanjavur,32.88
2000,The Nilgiris,24.0
2000,Theni,30.26
2000,Thirunelveli,32.39
2000,Thiruvallur,33.48
2000,Thiruvarur,32.64
2000,Thoothukudi,33.99
2000,Tiruchirappalli,33.65
2000,Tiruppur,32.24
2000,Tiruvannamalai,32.95
2000,Vellore,32.35
2000,Villupuram,33.19
2000,Virudhunagar,33.99
2001,Ariyalur,33.57
2001,Chennai,34.0
2001,Coimbatore,29.95
2001,Cuddalore,33.23
2001,Dharmapuri,32.34
2001,Dindigul,31.11
2001,Erode,31.67
2001,Kancheepuram,33.45
2001,Kanyakumari,29.75
2001,Karur,34.42
2001,Krishnagiri,31.25
2001,Madurai,33.43
2001,Nagapattinam,32.51
2001,Namakkal,33.34
2001,Perambular,34.1
2001,Pudukkottai,33.42
