year,dist_name,actual_evapotranspiration
1997,Dharmapuri,64.88
1997,Dindigul,57.45
1997,Erode,54.09
1997,Kancheepuram,82.08
1997,Kanyakumari,85.85
1997,Karur,53.67
1997,Krishnagiri,61.44
1997,Madurai,59.32
1997,Nagapattinam,84.86
1997,Namakkal,59.98
1997,Perambular,65.49
1997,Pudukkottai,63.16
1997,Ramananthapuram,51.8
1997,Salem,65.26
1997,Sivagangai,62.75
1997,Thanjavur,67.35
1997,The Nilgiris,73.05
1997,Theni,66.42
1997,Thirunelveli,61.88
1997,Thiruvallur,80.31
1997,Thiruvarur,79.21
1997,Thoothukudi,43.28
1997,Tiruchirappalli,58.27
1997,Tiruppur,51.92
1997,Tiruvannamalai,71.95
1997,Vellore,66.66
1997,Villupuram,74.58
1997,Virudhunagar,54.08
1998,Ariyalur,96.67
1998,Chennai,86.5
1998,Coimbatore,80.86
1998,Cuddalore,94.72
1998,Dharmapuri,87.52
1998,Dindigul,78.89
1998,Erode,67.27
1998,Kancheepuram,89.54
1998,Kanyakumari,93.09
1998,Karur,77.83
1998,Krishnagiri,78.39
1998,Madurai,83.45
1998,Nagapattinam,93.62
1998,Namakkal,79.68
1998,Perambular,93.19
1998,Pudukkottai,93.74
1998,Ramananthapuram,78.87
1998,Salem,83.3
1998,Sivagangai,93.9
1998,Thanjavur,96.17
1998,The Nilgiris,80.1
1998,Theni,90.16
1998,Thirunelveli,72.78
1998,Thiruvallur,88.25
1998,Thiruvarur,96.64
1998,Thoothukudi,55.32
1998,Tiruchirappalli,83.8
1998,Tiruppur,64.72
1998,Tiruvannamalai,91.53
1998,Vellore,86.16
1998,Villupuram,92.31
1998,Virudhunagar,80.9
1999,Ariyalur,81.76
1999,Chennai,87.1
1999,Coimbatore,75.12
1999,Cuddalore,86.51
1999,Dharmapuri,73.6
1999,Dindigul,65.0
1999,Erode,54.79
1999,Kancheepuram,87.77
1999,Kanyakumari,94.14
1999,Karur,53.53
1999,Krishnagiri,67.26
1999,Madurai,69.5
1999,Nagapattinam,88.12
1999,Namakkal,61.8
1999,Perambular,76.0
1999,Pudukkottai,71.27
1999,Ramananthapuram,66.07
1999,Salem,72.09
1999,Sivagangai,69.83
1999,Thanjavur,81.69
1999,The Nilgiris,78.34
1999,Theni,80.0
1999,Thirunelveli,76.32
1999,Thiruvallur,84.15
1999,Thiruvarur,89.5
1999,Thoothukudi,58.58
1999,Tiruchirappalli,62.22
1999,Tiruppur,54.59
1999,Tiruvannamalai,82.8
1999,Vellore,72.72
1999,Villupuram,84.36
1999,Virudhunagar,69.72
2000,Ariyalur,85.15
2000,Chennai,83.83
2000,Coimbatore,77.72
2000,Cuddalore,88.99
2000,Dharmapuri,75.62
2000,Dindigul,76.2
2000,Erode,62.17
2000,Kancheepuram,85.87
2000,Kanyakumari,90.87
2000,Karur,70.71
2000,Krishnagiri,68.23
2000,Madurai,82.25
2000,Nagapattinam,100.43
2000,Namakkal,73.8
2000,Perambular,82.43
2000,Pudukkottai,81.92
2000,Ramananthapuram,73.92
2000,Salem,76.91
2000,Sivagangai,83.22
2000,Thanjavur,85.93
2000,The Nilgiris,75.22
2000,Theni,88.41
2000,Thirunelveli,78.04
2000,Thiruvallur,80.25
2000,Thiruvarur,94.91
2000,Thoothukudi,56.45
2000,Tiruchirappalli,76.49
2000,Tiruppur,60.43
2000,Tiruvannamalai,80.32
2000,Vellore,73.45
2000,Villupuram,83.15
2000,Virudhunagar,80.36
2001,Ariyalur,81.65
2001,Chennai,73.88
2001,Coimbatore,75.96
2001,Cuddalore,88.86
2001,Dharmapuri,69.81
2001,Dindigul,66.33
2001,Erode,52.0
2001,Kancheepuram,77.04
2001,Kanyakumari,97.13
2001,Karur,54.91
2001,Krishnagiri,60.6
2001,Madurai,73.68
2001,Nagapattinam,89.87
2001,Namakkal,61.01
2001,Perambular,76.49
2001,Pudukkottai,80.04
2001,Ramananthapuram,61.32
2001,Salem,69.42
2001,Sivagangai,82.13
2001,Thanjavur,81.11
2001,The Nilgiris,78.23
2001,Theni,77.63
2001,Thirunelveli,73.82
2001,Thiruvallur,71.86
2001,Thiruvarur,87.25
2001,Thoothukudi,50.13
2001,Tiruchirappalli,64.52
2001,Tiruppur,51.43
2001,Tiruvannamalai,79.84
2001,Vellore,69.86
2001,Villupuram,82.8
2001,Virudhunagar,65.15
2002,Ariyalur,68.06
2002,Chennai,87.04
2002,Coimbatore,60.79
2002,Cuddalore,80.66
