year,dist_name,water_deficit
1997,Dindigul,91.51
1997,Erode,92.41
1997,Kancheepuram,76.29
1997,Kanyakumari,46.48
1997,Karur,113.15
1997,Krishnagiri,80.04
1997,Madurai,99.25
1997,Nagapattinam,73.85
1997,Namakkal,98.1
1997,Perambular,100.34
1997,Pudukkottai,100.46
1997,Ramananthapuram,116.38
1997,Salem,87.39
1997,Sivagangai,101.07
1997,Thanjavur,91.03
1997,The Nilgiris,41.72
1997,Theni,71.41
1997,Thirunelveli,87.46
1997,Thiruvallur,75.66
1997,Thiruvarur,78.57
1997,Thoothukudi,121.36
1997,Tiruchirappalli,104.59
1997,Tiruppur,99.65
1997,Tiruvannamalai,81.74
1997,Vellore,82.35
1997,Villupuram,83.6
1997,Virudhunagar,108.63
1998,Ariyalur,66.26
1998,Chennai,77.28
1998,Coimbatore,56.13
1998,Cuddalore,65.3
1998,Dharmapuri,61.85
1998,Dindigul,72.23
1998,Erode,81.82
1998,Kancheepuram,68.3
1998,Kanyakumari,43.57
1998,Karur,92.49
1998,Krishnagiri,63.54
1998,Madurai,77.64
1998,Nagapattinam,66.28
1998,Namakkal,81.31
1998,Perambular,73.89
1998,Pudukkottai,70.23
1998,Ramananthapuram,90.38
1998,Salem,71.27
1998,Sivagangai,70.28
1998,Thanjavur,62.44
1998,The Nilgiris,36.07
1998,Theni,49.77
1998,Thirunelveli,80.84
1998,Thiruvallur,67.78
1998,Thiruvarur,61.89
1998,Thoothukudi,113.43
1998,Tiruchirappalli,81.38
1998,Tiruppur,90.19
1998,Tiruvannamalai,61.42
1998,Vellore,62.53
1998,Villupuram,65.71
1998,Virudhunagar,84.29
1999,Ariyalur,80.62
1999,Chennai,76.68
1999,Coimbatore,58.44
1999,Cuddalore,73.61
1999,Dharmapuri,73.82
1999,Dindigul,85.72
1999,Erode,90.84
1999,Kancheepuram,70.4
1999,Kanyakumari,39.92
1999,Karur,114.33
1999,Krishnagiri,73.01
1999,Madurai,92.72
1999,Nagapattinam,74.01
1999,Namakkal,96.58
1999,Perambular,88.35
1999,Pudukkottai,91.9
1999,Ramananthapuram,102.87
1999,Salem,80.07
1999,Sivagangai,94.28
1999,Thanjavur,77.28
1999,The Nilgiris,33.88
1999,Theni,59.83
1999,Thirunelveli,77.24
1999,Thiruvallur,70.97
1999,Thiruvarur,71.42
1999,Thoothukudi,110.54
1999,Tiruchirappalli,100.09
1999,Tiruppur,97.95
1999,Tiruvannamalai,69.19
1999,Vellore,74.72
1999,Villupuram,72.94
1999,Virudhunagar,96.43
2000,Ariyalur,75.34
2000,Chennai,75.94
2000,Coimbatore,56.88
2000,Cuddalore,68.7
2000,Dharmapuri,71.57
2000,Dindigul,71.54
2000,Erode,82.84
2000,Kancheepuram,68.68
2000,Kanyakumari,44.82
2000,Karur,92.8
2000,Krishnagiri,72.28
2000,Madurai,76.04
2000,Nagapattinam,57.0
2000,Namakkal,81.32
2000,Perambular,80.07
2000,Pudukkottai,79.86
2000,Ramananthapuram,94.8
2000,Salem,74.0
2000,Sivagangai,79.61
2000,Thanjavur,70.99
2000,The Nilgiris,39.1
2000,Theni,49.99
2000,Thirunelveli,75.6
2000,Thiruvallur,71.89
2000,Thiruvarur,61.98
2000,Thoothukudi,111.89
2000,Tiruchirappalli,82.76
2000,Tiruppur,90.42
2000,Tiruvannamalai,70.55
2000,Vellore,73.39
2000,Villupuram,72.4
2000,Virudhunagar,83.19
2001,Ariyalur,79.82
2001,Chennai,89.69
2001,Coimbatore,52.44
2001,Cuddalore,69.64
2001,Dharmapuri,76.12
2001,Dindigul,78.01
2001,Erode,88.61
2001,Kancheepuram,81.49
2001,Kanyakumari,31.88
2001,Karur,107.73
2001,Krishnagiri,78.14
2001,Madurai,80.65
2001,Nagapattinam,67.54
2001,Namakkal,92.98
2001,Perambular,87.41
2001,Pudukkottai,81.6
2001,Ramananthapuram,105.07
2001,Salem,80.0
2001,Sivagangai,78.47
2001,Thanjavur,76.36
2001,The Nilgiris,31.34
2001,Theni,55.59
2001,Thirunelveli,72.91
2001,Thiruvallur,85.04
2001,Thiruvarur,69.84
2001,Thoothukudi,111.57
2001,Tiruchirappalli,95.36
2001,Tiruppur,93.82
2001,Tiruvannamalai,73.53
2001,Vellore,79.21
2001,Villupuram,74.93
2001,Virudhunagar,93.55
2002,Ariyalur,94.36
2002,Chennai,72.56
2002,Coimbatore,73.08
2002,Cuddalore,78.29
2002,Dharmapuri,90.33
2002,Dindigul,99.69
2002,Erode,102.74
2002,Kancheepuram,69.12
2002,Kanyakumari,58.64
2002,Karur,122.53
2002,Krishnagiri,88.41
2002,Madurai,108.9
2002,Nagapattinam,75.13
2002,Namakkal,107.56
2002,Perambular,103.6
2002,Pudukkottai,108.62
2002,Ramananthapuram,119.84
2002,Salem,95.36
2002,Sivagangai,110.13
2002,Thanjavur,94.66
2002,The Nilgiris,46.84
2002,Theni,79.9
2002,Thirunelveli,93.52
2002,Thiruvallur,69.87
2002,Thiruvarur,81.17
2002,Thoothukudi,121.8
2002,Tiruchirappalli,111.28
2002,Tiruppur,109.49
2002,Tiruvannamalai,79.17
2002,Vellore,83.13
2002,Villupuram,82.23
2002,Virudhunagar,116.04
2003,Ariyalur,68.84
2003,Chennai,75.79
2003,Coimbatore,62.38
2003,Cuddalore,63.49
2003,Dharmapuri,85.97
2003,Dindigul,77.85
2003,Erode,97.28
2003,Kancheepuram,69.42
2003,Kanyakumari,43.21
2003,Karur,102.41
2003,Krishnagiri,88.29
2003,Madurai,78.25
2003,Nagapattinam,55.88
2003,Namakkal,92.82
2003,Perambular,79.3
2003,Pudukkottai,70.26
2003,Ramananthapuram,84.15
2003,Salem,84.65
2003,Sivagangai,68.33
2003,Thanjavur,61.5
2003,The Nilgiris,42.13
2003,Theni,53.87
2003,Thirunelveli,74.35
2003,Thiruvallur,73.72
2003,Thiruvarur,53.47
2003,Thoothukudi,108.03
2003,Tiruchirappalli,85.96
2003,Tiruppur,99.78
2003,Tiruvannamalai,75.71
2003,Vellore,82.95
2003,Villupuram,71.86
2003,Virudhunagar,84.09
2004,Ariyalur,67.55
2004,Chennai,81.35
2004,Coimbatore,54.05
2004,Cuddalore,63.01
2004,Dharmapuri,62.54
2004,Dindigul,72.95
2004,Erode,77.18
2004,Kancheepuram,72.91
2004,Kanyakumari,41.25
2004,Karur,93.29
2004,Krishnagiri,62.98
2004,Madurai,77.92
2004,Nagapattinam,58.01
2004,Namakkal,77.24
2004,Perambular,72.23
2004,Pudukkottai,73.66
2004,Ramananthapuram,89.68
2004,Salem,66.48
2004,Sivagangai,72.9
2004,Thanjavur,65.22
2004,The Nilgiris,35.61
2004,Theni,53.67
2004,Thirunelveli,74.63
2004,Thiruvallur,73.74
2004,Thiruvarur,59.14
2004,Thoothukudi,108.69
2004,Tiruchirappalli,80.95
2004,Tiruppur,87.66
2004,Tiruvannamalai,62.38
2004,Vellore,65.65
2004,Villupuram,67.21
2004,Virudhunagar,85.6
2005,Ariyalur,76.72
2005,Chennai,78.39
2005,Coimbatore,58.99
2005,Cuddalore,70.37
2005,Dharmapuri,64.04
2005,Dindigul,81.06
2005,Erode,84.02
2005,Kancheepuram,71.14
2005,Kanyakumari,46.21
2005,Karur,101.05
2005,Krishnagiri,63.42
2005,Madurai,86.76
2005,Nagapattinam,72.34
2005,Namakkal,86.78
2005,Perambular,81.83
2005,Pudukkottai,82.21
2005,Ramananthapuram,103.7
2005,Salem,73.45
2005,Sivagangai,81.05
2005,Thanjavur,75.37
2005,The Nilgiris,38.35
2005,Theni,61.85
2005,Thirunelveli,83.21
2005,Thiruvallur,69.85
2005,Thiruvarur,71.03
2005,Thoothukudi,117.14
2005,Tiruchirappalli,89.69
2005,Tiruppur,93.63
2005,Tiruvannamalai,62.02
2005,Vellore,63.98
2005,Villupuram,68.81
2005,Virudhunagar,97.54
2006,Ariyalur,66.76
2006,Chennai,67.41
2006,Coimbatore,53.99
2006,Cuddalore,64.15
2006,Dharmapuri,66.27
2006,Dindigul,74.87
2006,Erode,83.72
2006,Kancheepuram,62.54
2006,Kanyakumari,35.69
2006,Karur,100.17
2006,Krishnagiri,72.48
2006,Madurai,75.36
2006,Nagapattinam,63.46
2006,Namakkal,85.46
2006,Perambular,74.42
2006,Pudukkottai,79.79
2006,Ramananthapuram,90.08
2006,Salem,72.62
2006,Sivagangai,81.02
2006,Thanjavur,64.05
2006,The Nilgiris,35.2
2006,Theni,49.22
2006,Thirunelveli,62.56
2006,Thiruvallur,60.04
2006,Thiruvarur,60.24
2006,Thoothukudi,98.51
2006,Tiruchirappalli,85.39
2006,Tiruppur,90.28
2006,Tiruvannamalai,59.1
2006,Vellore,62.86
2006,Villupuram,64.63
2006,Virudhunagar,79.13
2007,Ariyalur,59.35
2007,Chennai,55.99
2007,Coimbatore,50.34
2007,Cuddalore,54.18
2007,Dharmapuri,61.3
2007,Dindigul,69.35
2007,Erode,73.39
2007,Kancheepuram,52.23
2007,Kanyakumari,40.15
2007,Karur,90.9
2007,Krishnagiri,62.35
2007,Madurai,72.42
2007,Nagapattinam,58.59
2007,Namakkal,75.74
2007,Perambular,66.75
2007,Pudukkottai,67.08
2007,Ramananthapuram,87.33
2007,Salem,63.39
2007,Sivagangai,65.7
2007,Thanjavur,58.07
2007,The Nilgiris,33.07
2007,Theni,47.07
2007,Thirunelveli,76.44
2007,Thiruvallur,53.49
2007,Thiruvarur,55.2
2007,Thoothukudi,109.45
2007,Tiruchirappalli,76.91
2007,Tiruppur,85.25
2007,Tiruvannamalai,53.9
2007,Vellore,59.07
2007,Villupuram,54.67
2007,Virudhunagar,79.36
2008,Ariyalur,65.09
2008,Chennai,71.39
2008,Coimbatore,47.78
2008,Cuddalore,55.26
2008,Dharmapuri,58.14
2008,Dindigul,66.73
2008,Erode,75.21
2008,Kancheepuram,60.2
2008,Kanyakumari,34.6
2008,Karur,86.54
2008,Krishnagiri,60.35
2008,Madurai,66.65
2008,Nagapattinam,50.18
2008,Namakkal,72.27
2008,Perambular,69.99
2008,Pudukkottai,69.82
2008,Ramananthapuram,85.98
2008,Salem,60.75
2008,Sivagangai,69.33
2008,Thanjavur,61.52
2008,The Nilgiris,31.83
2008,Theni,42.5
2008,Thirunelveli,64.27
2008,Thiruvallur,65.3
2008,Thiruvarur,51.94
2008,Thoothukudi,102.44
2008,Tiruchirappalli,74.35
2008,Tiruppur,83.78
2008,Tiruvannamalai,53.34
2008,Vellore,56.88
2008,Villupuram,59.64
2008,Virudhunagar,74.17
2009,Ariyalur,66.69
2009,Chennai,81.47
2009,Coimbatore,60.22
2009,Cuddalore,66.48
2009,Dharmapuri,67.6
2009,Dindigul,77.44
2009,Erode,88.84
2009,Kancheepuram,74.04
2009,Kanyakumari,46.41
2009,Karur,100.03
2009,Krishnagiri,70.83
2009,Madurai,79.36
2009,Nagapattinam,65.73
2009,Namakkal,86.1
2009,Perambular,74.36
2009,Pudukkottai,72.08
2009,Ramananthapuram,91.3
2009,Salem,74.99
2009,Sivagangai,69.09
2009,Thanjavur,64.07
2009,The Nilgiris,41.28
2009,Theni,54.01
2009,Thirunelveli,79.97
2009,Thiruvallur,73.93
2009,Thiruvarur,62.84
2009,Thoothukudi,115.15
2009,Tiruchirappalli,83.71
2009,Tiruppur,97.63
2009,Tiruvannamalai,67.7
2009,Vellore,71.11
2009,Villupuram,69.79
2009,Virudhunagar,87.94
2010,Ariyalur,57.97
2010,Chennai,50.67
2010,Coimbatore,51.63
2010,Cuddalore,51.98
2010,Dharmapuri,67.15
2010,Dindigul,71.14
2010,Erode,78.87
2010,Kancheepuram,48.26
2010,Kanyakumari,40.32
2010,Karur,92.15
2010,Krishnagiri,67.34
2010,Madurai,75.52
2010,Nagapattinam,54.74
2010,Namakkal,78.76
2010,Perambular,69.66
2010,Pudukkottai,68.72
2010,Ramananthapuram,85.99
2010,Salem,68.59
2010,Sivagangai,71.34
2010,Thanjavur,55.26
2010,The Nilgiris,30.57
2010,Theni,51.29
2010,Thirunelveli,71.37
2010,Thiruvallur,45.6
2010,Thiruvarur,50.91
2010,Thoothukudi,106.21
2010,Tiruchirappalli,80.47
2010,Tiruppur,85.42
2010,Tiruvannamalai,54.79
2010,Vellore,58.21
2010,Villupuram,55.7
2010,Virudhunagar,80.47
2011,Ariyalur,64.99
2011,Chennai,51.7
2011,Coimbatore,56.39
2011,Cuddalore,58.34
2011,Dharmapuri,61.56
2011,Dindigul,76.01
2011,Erode,82.6
2011,Kancheepuram,50.28
2011,Kanyakumari,44.31
