year,dist_name,nitrogen_kharif_consumption_tons,nitrogen_rabi_consumption_tons,phosphate_kharif_consumption_tons,phosphate_rabi_consumption_tons,potash_kharif_consumption_tons,potash_rabi_consumption_tons,total_kharif_consumption_tons,total_rabi_consumption_tons
1993,Coimbatore,12273.0,13346.0,3814.0,4780.0,9936.0,5658.0,26023.0,23784.0
1993,Cuddalore,15561.0,16497.0,7053.0,6008.0,7041.0,7628.0,29655.0,30133.0
1993,Dharmapuri,3240.0,6528.0,1632.0,2931.0,1575.0,3448.0,6447.0,12907.0
1993,Dindigul,2299.0,8575.0,1983.0,3496.0,1914.0,4061.0,6196.0,16132.0
1993,Erode,10782.0,16288.0,5019.0,6297.0,7385.0,8273.0,23186.0,30858.0
1993,Kancheepuram,9899.0,24735.0,4262.0,9558.0,3402.0,8988.0,17563.0,43281.0
1993,Kanyakumari,3455.0,4416.0,1021.0,1894.0,1472.0,2303.0,5948.0,8613.0
1993,Madurai,5729.0,18952.0,4058.0,7370.0,6931.0,10699.0,16718.0,37021.0
1993,Nagapattinam,10199.0,10024.0,5135.0,3361.0,4881.0,5475.0,20215.0,18860.0
1993,Pudukkottai,2838.0,10369.0,1127.0,3418.0,1410.0,3580.0,5375.0,17367.0
1993,Ramananthapuram,1578.0,6566.0,311.0,1446.0,123.0,773.0,2012.0,8785.0
1993,Salem,9817.0,13493.0,4983.0,6133.0,7353.0,6940.0,22153.0,26566.0
1993,Sivagangai,1489.0,5678.0,500.0,1446.0,163.0,1387.0,2152.0,8511.0
1993,Thanjavur,17142.0,16737.0,5863.0,5686.0,10114.0,7787.0,33119.0,30210.0
1993,The Nilgiris,3045.0,1635.0,938.0,677.0,267.0,2262.0,4250.0,4574.0
1993,Thirunelveli,7195.0,12626.0,2139.0,4674.0,2394.0,9971.0,11728.0,27271.0
1993,Thoothukudi,1597.0,4564.0,977.0,1356.0,850.0,2066.0,3424.0,7986.0
1993,Tiruchirappalli,13454.0,25285.0,5684.0,8950.0,8452.0,11518.0,27590.0,45753.0
1993,Tiruvannamalai,3820.0,10618.0,1714.0,4824.0,1430.0,4595.0,6964.0,20037.0
1993,Vellore,7881.0,16861.0,2982.0,6279.0,3917.0,6346.0,14780.0,29486.0
1993,Villupuram,0.0,17089.0,0.0,5834.0,0.0,6081.0,0.0,29004.0
1993,Virudhunagar,2189.0,7516.0,1047.0,2683.0,1663.0,3182.0,4899.0,13381.0
1994,Coimbatore,8904.0,16209.0,5124.0,4196.0,9705.0,10515.0,23733.0,30920.0
1994,Cuddalore,11141.0,18711.0,6860.0,6094.0,7129.0,7526.0,25130.0,32331.0
1994,Dharmapuri,3480.0,5895.0,2835.0,2570.0,4016.0,2743.0,10331.0,11208.0
1994,Dindigul,4266.0,8705.0,2686.0,3188.0,3561.0,3650.0,10513.0,15543.0
1994,Erode,11426.0,16677.0,7301.0,4352.0,7441.0,5008.0,26168.0,26037.0
1994,Kancheepuram,11179.0,27380.0,6027.0,9683.0,5801.0,8459.0,23007.0,45522.0
1994,Kanyakumari,2858.0,3680.0,1636.0,1712.0,2490.0,2031.0,6984.0,7423.0
1994,Madurai,12647.0,19854.0,6186.0,6324.0,10199.0,12084.0,29032.0,38262.0
1994,Nagapattinam,13087.0,16404.0,9627.0,4813.0,8979.0,4380.0,31693.0,25597.0
