year,dist_name,rice_area_1000_ha,rice_production_1000_tons,rice_yield_kg_per_ha
1996,Namakkal,25.37,95.16,3751.0
1996,Perambular,47.58,142.2,2989.0
1996,Pudukkottai,82.1,216.09,2632.0
1996,Ramananthapuram,132.4,148.34,1120.0
1996,Salem,45.15,169.72,3759.0
1996,Sivagangai,81.88,161.17,1968.0
1996,Thanjavur,167.11,427.37,2557.0
1996,The Nilgiris,1.94,3.08,1588.0
1996,Theni,19.03,67.94,3570.0
1996,Thirunelveli,68.04,264.55,3888.0
1996,Thiruvallur,107.08,322.03,3007.0
1996,Thiruvarur,155.37,238.83,1537.0
1996,Thoothukudi,14.41,61.01,4234.0
1996,Tiruchirappalli,58.58,179.68,3067.0
1996,Tiruvannamalai,146.54,384.01,2621.0
1996,Vellore,86.85,260.57,3000.0
1996,Villupuram,186.24,557.86,2995.0
1996,Virudhunagar,28.91,81.89,2833.0
1997,Coimbatore,18.7,57.67,3084.0
1997,Cuddalore,116.63,358.11,3070.0
1997,Dharmapuri,64.39,203.89,3166.0
1997,Dindigul,27.59,136.52,4948.0
1997,Erode,60.89,268.93,4417.0
1997,Kancheepuram,154.69,505.7,3269.0
1997,Kanyakumari,31.24,118.64,3798.0
1997,Karur,16.45,48.59,2954.0
1997,Madurai,83.06,314.38,3785.0
1997,Nagapattinam,156.95,269.63,1718.0
1997,Namakkal,23.98,99.15,4135.0
1997,Perambular,49.85,152.82,3066.0
1997,Pudukkottai,88.3,242.81,2750.0
1997,Ramananthapuram,144.63,480.49,3322.0
1997,Salem,46.48,187.98,4044.0
1997,Sivagangai,90.93,221.56,2437.0
1997,Thanjavur,181.5,489.77,2698.0
1997,The Nilgiris,1.72,5.98,3477.0
1997,Theni,19.83,61.81,3117.0
1997,Thirunelveli,88.78,325.65,3668.0
1997,Thiruvallur,111.9,434.77,3885.0
1997,Thiruvarur,168.21,285.51,1697.0
1997,Thoothukudi,17.91,78.65,4391.0
1997,Tiruchirappalli,67.73,223.53,3300.0
1997,Tiruvannamalai,142.22,405.68,2852.0
1997,Vellore,71.61,236.91,3308.0
1997,Villupuram,178.16,566.36,3179.0
1997,Virudhunagar,36.21,112.24,3100.0
1998,Chennai,0.0,0.0,0.0
1998,Coimbatore,12.26,44.25,3609.0
1998,Cuddalore,110.79,370.94,3348.0
1998,Dharmapuri,62.18,229.33,3688.0
1998,Dindigul,27.12,148.14,5462.0
1998,Erode,57.96,272.6,4703.0
1998,Kancheepuram,149.88,522.55,3486.0
1998,Kanyakumari,32.0,152.8,4775.0
1998,Karur,16.25,67.34,4144.0
1998,Madurai,87.23,409.87,4699.0
1998,Nagapattinam,159.26,454.19,2852.0
1998,Namakkal,24.64,120.43,4888.0
1998,Perambular,51.4,139.1,2706.0
1998,Pudukkottai,99.01,312.65,3158.0
1998,Ramananthapuram,132.34,377.45,2852.0
1998,Salem,48.3,213.84,4427.0
1998,Sivagangai,96.88,298.59,3082.0
1998,Thanjavur,184.49,580.52,3147.0
1998,The Nilgiris,1.74,7.05,4052.0
1998,Theni,18.58,69.67,3750.0
1998,Thirunelveli,91.78,413.41,4504.0
