year,dist_name,minimum_temperature
1997,Dindigul,21.57
1997,Erode,21.38
1997,Kancheepuram,23.99
1997,Kanyakumari,23.13
1997,Karur,24.19
1997,Krishnagiri,20.18
1997,Madurai,24.0
1997,Nagapattinam,24.66
1997,Namakkal,22.72
1997,Perambular,24.17
1997,Pudukkottai,24.55
1997,Ramananthapuram,25.62
1997,Salem,21.92
1997,Sivagangai,24.83
1997,Thanjavur,24.4
1997,The Nilgiris,14.79
1997,Theni,21.34
1997,Thirunelveli,24.32
1997,Thiruvallur,23.78
1997,Thiruvarur,24.62
1997,Thoothukudi,25.52
1997,Tiruchirappalli,23.74
1997,Tiruppur,22.48
1997,Tiruvannamalai,22.95
1997,Vellore,22.07
1997,Villupuram,23.66
1997,Virudhunagar,25.05
1998,Ariyalur,24.62
1998,Chennai,24.54
1998,Coimbatore,20.98
1998,Cuddalore,24.45
1998,Dharmapuri,21.48
1998,Dindigul,21.75
1998,Erode,21.5
1998,Kancheepuram,24.17
1998,Kanyakumari,23.28
1998,Karur,24.36
1998,Krishnagiri,20.32
1998,Madurai,24.18
1998,Nagapattinam,24.85
1998,Namakkal,22.87
1998,Perambular,24.38
1998,Pudukkottai,24.75
1998,Ramananthapuram,25.79
1998,Salem,22.08
1998,Sivagangai,25.02
1998,Thanjavur,24.6
1998,The Nilgiris,14.88
1998,Theni,21.52
1998,Thirunelveli,24.48
1998,Thiruvallur,23.95
1998,Thiruvarur,24.81
1998,Thoothukudi,25.7
1998,Tiruchirappalli,23.93
1998,Tiruppur,22.63
1998,Tiruvannamalai,23.12
1998,Vellore,22.22
1998,Villupuram,23.84
1998,Virudhunagar,25.22
1999,Ariyalur,23.85
1999,Chennai,23.84
1999,Coimbatore,20.26
1999,Cuddalore,23.68
1999,Dharmapuri,20.73
1999,Dindigul,20.99
1999,Erode,20.77
1999,Kancheepuram,23.42
1999,Kanyakumari,22.58
1999,Karur,23.59
1999,Krishnagiri,19.57
1999,Madurai,23.42
1999,Nagapattinam,24.08
1999,Namakkal,22.12
1999,Perambular,23.61
1999,Pudukkottai,23.97
1999,Ramananthapuram,25.04
1999,Salem,21.33
1999,Sivagangai,24.23
1999,Thanjavur,23.83
1999,The Nilgiris,14.18
1999,Theni,20.78
1999,Thirunelveli,23.76
1999,Thiruvallur,23.24
1999,Thiruvarur,24.04
1999,Thoothukudi,24.96
1999,Tiruchirappalli,23.15
1999,Tiruppur,21.89
1999,Tiruvannamalai,22.37
1999,Vellore,21.48
1999,Villupuram,23.08
1999,Virudhunagar,24.47
2000,Ariyalur,24.3
2000,Chennai,24.21
2000,Coimbatore,20.68
2000,Cuddalore,24.12
2000,Dharmapuri,21.1
2000,Dindigul,21.44
2000,Erode,21.17
2000,Kancheepuram,23.82
2000,Kanyakumari,23.11
2000,Karur,24.03
2000,Krishnagiri,19.92
2000,Madurai,23.91
2000,Nagapattinam,24.54
2000,Namakkal,22.52
2000,Perambular,24.03
2000,Pudukkottai,24.44
2000,Ramananthapuram,25.55
2000,Salem,21.72
2000,Sivagangai,24.74
2000,Thanjavur,24.28
2000,The Nilgiris,14.56
2000,Theni,21.25
2000,Thirunelveli,24.3
2000,Thiruvallur,23.59
2000,Thiruvarur,24.5
2000,Thoothukudi,25.5
2000,Tiruchirappalli,23.59
2000,Tiruppur,22.31
2000,Tiruvannamalai,22.75
2000,Vellore,21.84
2000,Villupuram,23.48
2000,Virudhunagar,24.98
2001,Ariyalur,24.37
2001,Chennai,24.35
2001,Coimbatore,20.55
2001,Cuddalore,24.2
2001,Dharmapuri,21.34
2001,Dindigul,21.4
2001,Erode,21.22
2001,Kancheepuram,23.98
2001,Kanyakumari,22.76
2001,Karur,24.12
2001,Krishnagiri,20.16
2001,Madurai,23.83
2001,Nagapattinam,24.49
2001,Namakkal,22.67
2001,Perambular,24.19
2001,Pudukkottai,24.56
2001,Ramananthapuram,25.46
2001,Salem,21.91
2001,Sivagangai,24.79
2001,Thanjavur,24.33
2001,The Nilgiris,14.46
2001,Theni,21.04
2001,Thirunelveli,23.97
2001,Thiruvallur,23.8
2001,Thiruvarur,24.47
2001,Thoothukudi,25.21
2001,Tiruchirappalli,23.75
2001,Tiruppur,22.26
2001,Tiruvannamalai,23.03
2001,Vellore,22.15
2001,Villupuram,23.68
2001,Virudhunagar,24.8
2002,Ariyalur,24.54
2002,Chennai,24.32
2002,Coimbatore,20.85
2002,Cuddalore,24.34
2002,Dharmapuri,21.68
2002,Dindigul,21.64
2002,Erode,21.55
2002,Kancheepuram,24.01
2002,Kanyakumari,22.98
2002,Karur,24.36
2002,Krishnagiri,20.52
2002,Madurai,24.02
2002,Nagapattinam,24.59
2002,Namakkal,22.95
2002,Perambular,24.42
2002,Pudukkottai,24.68
2002,Ramananthapuram,25.56
2002,Salem,22.22
2002,Sivagangai,24.89
2002,Thanjavur,24.46
2002,The Nilgiris,14.8
2002,Theni,21.3
2002,Thirunelveli,24.21
2002,Thiruvallur,23.8
2002,Thiruvarur,24.59
2002,Thoothukudi,25.4
2002,Tiruchirappalli,23.96
2002,Tiruppur,22.56
2002,Tiruvannamalai,23.22
2002,Vellore,22.37
2002,Villupuram,23.85
2002,Virudhunagar,25.0
2003,Ariyalur,24.54
2003,Chennai,24.39
2003,Coimbatore,21.1
2003,Cuddalore,24.35
2003,Dharmapuri,21.81
2003,Dindigul,21.88
2003,Erode,21.76
2003,Kancheepuram,24.12
2003,Kanyakumari,23.13
2003,Karur,24.53
2003,Krishnagiri,20.71
2003,Madurai,24.27
2003,Nagapattinam,24.57
2003,Namakkal,23.09
2003,Perambular,24.45
2003,Pudukkottai,24.81
2003,Ramananthapuram,25.75
2003,Salem,22.35
2003,Sivagangai,25.08
2003,Thanjavur,24.52
2003,The Nilgiris,15.04
2003,Theni,21.57
2003,Thirunelveli,24.39
2003,Thiruvallur,23.94
2003,Thiruvarur,24.61
2003,Thoothukudi,25.6
2003,Tiruchirappalli,24.08
2003,Tiruppur,22.79
2003,Tiruvannamalai,23.33
2003,Vellore,22.54
2003,Villupuram,23.92
2003,Virudhunagar,25.23
2004,Ariyalur,24.02
2004,Chennai,23.96
2004,Coimbatore,20.58
2004,Cuddalore,23.85
2004,Dharmapuri,21.03
2004,Dindigul,21.29
2004,Erode,21.04
2004,Kancheepuram,23.6
2004,Kanyakumari,22.94
2004,Karur,23.84
2004,Krishnagiri,19.9
2004,Madurai,23.75
2004,Nagapattinam,24.25
2004,Namakkal,22.33
2004,Perambular,23.79
2004,Pudukkottai,24.24
2004,Ramananthapuram,25.36
2004,Salem,21.58
2004,Sivagangai,24.55
2004,Thanjavur,24.03
2004,The Nilgiris,14.51
2004,Theni,21.13
2004,Thirunelveli,24.14
2004,Thiruvallur,23.41
2004,Thiruvarur,24.23
2004,Thoothukudi,25.33
2004,Tiruchirappalli,23.38
2004,Tiruppur,22.17
2004,Tiruvannamalai,22.64
2004,Vellore,21.8
2004,Villupuram,23.3
2004,Virudhunagar,24.83
2005,Ariyalur,24.27
2005,Chennai,24.04
2005,Coimbatore,20.75
2005,Cuddalore,24.06
2005,Dharmapuri,21.18
2005,Dindigul,21.5
2005,Erode,21.24
2005,Kancheepuram,23.7
2005,Kanyakumari,23.09
2005,Karur,24.07
2005,Krishnagiri,20.04
2005,Madurai,23.96
2005,Nagapattinam,24.53
2005,Namakkal,22.56
2005,Perambular,24.03
2005,Pudukkottai,24.48
2005,Ramananthapuram,25.61
2005,Salem,21.77
2005,Sivagangai,24.78
2005,Thanjavur,24.29
2005,The Nilgiris,14.66
2005,Theni,21.3
2005,Thirunelveli,24.31
2005,Thiruvallur,23.5
2005,Thiruvarur,24.51
2005,Thoothukudi,25.54
2005,Tiruchirappalli,23.62
2005,Tiruppur,22.38
2005,Tiruvannamalai,22.75
2005,Vellore,21.9
2005,Villupuram,23.45
2005,Virudhunagar,25.03
2006,Ariyalur,24.15
2006,Chennai,24.03
2006,Coimbatore,20.49
2006,Cuddalore,23.98
2006,Dharmapuri,21.29
2006,Dindigul,21.2
2006,Erode,21.12
2006,Kancheepuram,23.71
2006,Kanyakumari,22.57
2006,Karur,23.9
2006,Krishnagiri,20.17
2006,Madurai,23.61
2006,Nagapattinam,24.31
2006,Namakkal,22.47
2006,Perambular,23.97
2006,Pudukkottai,24.33
2006,Ramananthapuram,25.28
2006,Salem,21.78
2006,Sivagangai,24.55
2006,Thanjavur,24.13
2006,The Nilgiris,14.47
2006,Theni,20.88
2006,Thirunelveli,23.76
2006,Thiruvallur,23.55
2006,Thiruvarur,24.3
2006,Thoothukudi,25.02
2006,Tiruchirappalli,23.51
2006,Tiruppur,22.12
2006,Tiruvannamalai,22.89
2006,Vellore,22.08
2006,Villupuram,23.49
2006,Virudhunagar,24.59
2007,Ariyalur,24.21
2007,Chennai,23.92
2007,Coimbatore,20.72
2007,Cuddalore,23.98
2007,Dharmapuri,21.24
2007,Dindigul,21.46
2007,Erode,21.29
2007,Kancheepuram,23.6
2007,Kanyakumari,22.94
2007,Karur,24.08
2007,Krishnagiri,20.1
2007,Madurai,23.91
2007,Nagapattinam,24.4
2007,Namakkal,22.59
2007,Perambular,24.01
2007,Pudukkottai,24.49
2007,Ramananthapuram,25.57
2007,Salem,21.81
2007,Sivagangai,24.79
2007,Thanjavur,24.25
2007,The Nilgiris,14.64
2007,Theni,21.2
2007,Thirunelveli,24.17
2007,Thiruvallur,23.39
2007,Thiruvarur,24.42
2007,Thoothukudi,25.42
2007,Tiruchirappalli,23.63
2007,Tiruppur,22.36
2007,Tiruvannamalai,22.71
2007,Vellore,21.85
2007,Villupuram,23.4
2007,Virudhunagar,24.94
2008,Ariyalur,24.07
2008,Chennai,24.04
2008,Coimbatore,20.66
2008,Cuddalore,23.94
2008,Dharmapuri,21.04
2008,Dindigul,21.28
2008,Erode,21.08
2008,Kancheepuram,23.67
2008,Kanyakumari,22.96
2008,Karur,23.81
2008,Krishnagiri,19.9
2008,Madurai,23.73
2008,Nagapattinam,24.46
2008,Namakkal,22.32
2008,Perambular,23.76
2008,Pudukkottai,24.18
2008,Ramananthapuram,25.42
2008,Salem,21.57
2008,Sivagangai,24.49
2008,Thanjavur,24.09
2008,The Nilgiris,14.6
2008,Theni,21.14
2008,Thirunelveli,24.14
2008,Thiruvallur,23.49
2008,Thiruvarur,24.39
2008,Thoothukudi,25.39
2008,Tiruchirappalli,23.31
2008,Tiruppur,22.22
2008,Tiruvannamalai,22.7
2008,Vellore,21.85
2008,Villupuram,23.35
2008,Virudhunagar,24.83
2009,Ariyalur,24.65
2009,Chennai,24.43
2009,Coimbatore,21.06
2009,Cuddalore,24.43
2009,Dharmapuri,21.73
2009,Dindigul,21.96
2009,Erode,21.67
2009,Kancheepuram,24.13
2009,Kanyakumari,23.28
2009,Karur,24.57
2009,Krishnagiri,20.56
2009,Madurai,24.42
2009,Nagapattinam,24.76
2009,Namakkal,23.06
2009,Perambular,24.5
2009,Pudukkottai,25.01
2009,Ramananthapuram,26.03
2009,Salem,22.29
2009,Sivagangai,25.33
2009,Thanjavur,24.69
2009,The Nilgiris,14.92
2009,Theni,21.66
2009,Thirunelveli,24.55
2009,Thiruvallur,23.95
2009,Thiruvarur,24.8
2009,Thoothukudi,25.81
2009,Tiruchirappalli,24.15
2009,Tiruppur,22.77
2009,Tiruvannamalai,23.31
2009,Vellore,22.48
2009,Villupuram,23.94
2009,Virudhunagar,25.41
2010,Ariyalur,24.62
2010,Chennai,24.21
2010,Coimbatore,21.03
2010,Cuddalore,24.38
2010,Dharmapuri,21.62
2010,Dindigul,21.84
2010,Erode,21.64
2010,Kancheepuram,23.92
2010,Kanyakumari,23.21
2010,Karur,24.47
2010,Krishnagiri,20.48
2010,Madurai,24.29
2010,Nagapattinam,24.8
2010,Namakkal,22.98
2010,Perambular,24.42
2010,Pudukkottai,24.92
2010,Ramananthapuram,25.98
2010,Salem,22.2
2010,Sivagangai,25.22
2010,Thanjavur,24.66
2010,The Nilgiris,14.94
2010,Theni,21.53
2010,Thirunelveli,24.47
2010,Thiruvallur,23.65
2010,Thiruvarur,24.82
2010,Thoothukudi,25.76
2010,Tiruchirappalli,24.04
2010,Tiruppur,22.7
2010,Tiruvannamalai,23.09
2010,Vellore,22.22
2010,Villupuram,23.8
2010,Virudhunagar,25.3
2011,Ariyalur,24.47
